  ISU IEM BUFKIT STATION LISTING 20230730 - MODIFIED BY KYLE J GILLETT
------------------------------------------------------------------------
Entries may be added, deleted, or edited, BUT FORMAT MUST BE MAINTAINED.
------------------------------------------------------------------------
NUM numbers must be sequential.      Coordinates are in decimal degrees.
------------------------------------------------------------------------

NUM,LAT,LON,ID,NAME,LOC,EL(m),NOTE
000351,   35.97,  -118.54,  JHN , JOHNSONDALE -999 Usr Rqst-13     , CA,       0   ,0 Usr Rqst 1-13
000352,   34.83,  -118.95,  FZP , FRAZIER PARK -999 Usr Rqst-13    , CA,       0   ,0 Usr Rqst 1-13
000353,   36.14,  -120.35,  COA , COALINGA -999 Usr Rqst-13        , CA,       0   ,0 Usr Rqst 1-13
000354,   36.65,  -118.48,  TBM , TABLE MOUNTAIN -999 Usr Rqst-13  , CA,       0   ,0 Usr Rqst 1-13
000355,   42.47,   -73.29,  KPSF, PITTSFIELD                       , MA,       364 ,0 Usr Rqst 5-12
000356,   39.21,   -82.23,  KUNI, ATHENS/ALBANY                    , OH,       232 ,0 Usr Rqst 5-12
000357,   40.48,  -111.43,  K36U, HEBER VALLEY MUN APT             , UT,       1718,0 Usr Rqst 5-12
000358,   33.02,  -114.24,  B40 , YUMA                             , AZ,       303 ,0 DHS/AWC 8-13
000359,   31.49,  -110.30,  B41 , HUACHUCA                         , AZ,       1482,0 DHS/AWC 8-13
000360,   32.02,  -107.87,  B42 , DEMING                           , NM,       1293,0 DHS/AWC 8-13
000361,   30.43,  -104.33,  B43 , MARFA                            , TX,       1433,0 DHS/AWC 8-13
000362,   28.39,  -110.29,  B44 , EAGLE PASS                       , TX,       214 ,0 DHS/AWC 8-13
000363,   26.57,   -98.82,  B45 , RIO GRANDE CITY                  , TX,       98  ,0 DHS/AWC 8-13
000364,   28.71,   -95.96,  B46 , MATAGORDA                        , TX,       2   ,0 DHS/AWC 8-13
000365,   29.81,   -91.66,  B47 , MORGAN CITY                      , LA,       4   ,0 DHS/AWC 8-13
000366,   24.70,   -80.51,  B48 , CUDJOE KEY                       , FL,       1   ,0 DHS/AWC 8-13
000367,   17.98,   -67.08,  B49 , LAJAS                            , PR,       17  ,0 DHS/AWC 8-13
000368,   46.19,  -121.70,  MAW , MT ADAMS WEST                    , WA,       9999,0
000369,   46.28,  -122.28,  SHNW, MT ST HELENS NW                  , WA,       9999,0
000370,   45.35,  -121.94,  MHW , MT HOOD WEST                     , OR,       9999,0
