      RAOB STATION LISTING 20181221 - MODIFIED BY KYLE J GILLETT
------------------------------------------------------------------------
Entries may be added, deleted, or edited, BUT FORMAT MUST BE MAINTAINED.
------------------------------------------------------------------------
WMO numbers must be sequential.      Coordinates are in decimal degrees.
------------------------------------------------------------------------

WMO,ICAO,NAME,LOC,EL(m),LAT,A,LON,B,

12105, ----, KOSZALIN,                   PL,   34,  54.20, N,   16.20, E
12120, ----, LEBA,                       PL,    2,  54.75, N,   17.53, E
12185, ----, KETRZYN,                    PL,  110,  54.07, N,   21.37, E
12330, EPPO, POZNAN/LAWICA,              PL,   92,  52.42, N,   16.83, E
12365, ----, BRWINOW,                    PL,   98,  52.13, N,   20.72, E
12374, ----, LEGIONOWO,                  PL,   96,  52.40, N,   20.97, E
12424, EPWR, WROCLAW/STRACHOW,           PL,  121,  51.10, N,   16.87, E
12425, ----, WROCLAW/MALY GADOW,         PL,  116,  51.13, N,   16.98, E
12520, ----, KLODZKO,                    PL,  357,  50.43, N,   16.62, E
12843, ----, BUDAPEST/LORINC,            HU,  139,  47.43, N,   19.18, E
12982, LHUD, SZEGED (AUT),               HU,   83,  46.25, N,   20.10, E
13005, ----, BOVEC,                      YG,  452,  46.33, N,   13.57, E
13275, ----, BEOGRAD KOSUTNJAK,          YG,  203,  44.77, N,   20.42, E
13279, ----, SMEDEREVSKA,                YG,  122,  44.37, N,   20.95, E
13334, ----, SPLIT/MARJAN,               YG,  129,  43.52, N,   16.43, E
13388, LYBM, NIS,                        YG,  203,  43.33, N,   21.90, E
13586, LWSK, SKOPJE/PETROVAC,            YG,  239,  41.97, N,   21.65, E
14015, ----, LUUBLUANA/BEZIGRAD,         LJ,  316,  46.07, N,   14.52, E
14240, LDDD, ZAGREB/MAKSIMIR,            RH,  123,  45.82, N,   16.03, E
14241, LDZA, ZAGREB/PLESO,               RH,  107,  45.73, N,   16.07, E
14320, ----, CRIKVENICA,                 RH,    2,  45.17, N,   14.70, E
14430, LDZD, ZADAR ZEMUNIK,              RH,   82,  44.10, N,   15.35, E
15001, ----, AVRAMENI,                   RO,  240,  48.02, N,   26.95, E
15010, ----, SATU MARE,                  RO,  122,  47.78, N,   22.88, E
15080, ----, ORADEA,                     RO,  136,  47.05, N,   21.93, E
15090, ----, IASI,                       RO,  102,  47.17, N,   27.60, E
15120, LRCL, CLUJ-NAPOCA/SOMESEN,        RO,  413,  46.78, N,   23.57, E
15150, ----, BACAU,                      RO,  182,  46.57, N,   26.98, E
15189, ----, DUMBRAVENI,                 RO,  318,  46.23, N,   24.57, E
15200, ----, ARAD,                       RO,  108,  46.17, N,   21.32, E
15209, ----, BLAJ,                       RO,  334,  46.18, N,   23.92, E
15310, ----, GALATI,                     RO,   71,  45.50, N,   28.02, E
15350, ----, BUZAU,                      RO,   97,  45.15, N,   26.82, E
15360, ----, SULINA,                     RO,    9,  45.15, N,   29.67, E
15410, ----, TURNU SEVERAN,              RO,   77,  44.63, N,   22.63, E
15420, LRBS, BUCHAREST/BANEASA,          RO,   91,  44.48, N,   26.18, E
15425, ----, SOLACOLU,                   RO,   52,  44.38, N,   26.57, E
15450, ----, CRAIOVA,                    RO,  190,  44.23, N,   23.87, E
15470, ----, ROSIORI DE VEDE,            RO,  103,  44.12, N,   25.00, E
15480, ----, CONSTANTA,                  RO,   14,  44.22, N,   28.63, E
15481, LRCK, KOGALNICEANU,               RO,  102,  44.33, N,   28.43, E
15490, ----, TURNU MAGURELE,             RO,   31,  43.75, N,   24.88, E
15614, LBSF, SOFIA (OBSERVATORY),        BU,  595,  42.65, N,   23.38, E
15615, ----, MUSSALA MTN,                BU, 2927,  42.18, N,   23.58, E
15730, ----, KARDJALI,                   BU,  336,  41.63, N,   25.40, E
16008, ----, S. VALENTINO,               IY, 1461,  45.75, N,   10.53, E
16020, LIPB, BOLZANO,                    IY,  241,  46.47, N,   11.33, E
